row_type,system_organ_class,preferred_term,subjects_n_percent,n_events
Overall,Subjects with at least one TEAE,NA,420 (92.7%),8743
SOC,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,NA,259 (57.2%),1514
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,FATIGUE,125 (27.6%),653
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,ASTHENIA,80 (17.7%),305
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,OEDEMA PERIPHERAL,54 (11.9%),261
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,PYREXIA,43 (9.5%),75
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,NON-CARDIAC CHEST PAIN,26 (5.7%),70
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,PAIN,11 (2.4%),26
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,INFLUENZA LIKE ILLNESS,8 (1.8%),11
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,CHEST DISCOMFORT,6 (1.3%),12
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,DISEASE PROGRESSION,5 (1.1%),5
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,FACE OEDEMA,5 (1.1%),10
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,OEDEMA,5 (1.1%),17
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,CHILLS,4 (0.9%),5
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,INFUSION SITE EXTRAVASATION,4 (0.9%),9
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,MALAISE,4 (0.9%),6
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,CHEST PAIN,3 (0.7%),6
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,INJECTION SITE REACTION,3 (0.7%),6
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,GENERALISED OEDEMA,2 (0.4%),8
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,LOCALISED OEDEMA,2 (0.4%),2
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,CATHETER SITE ERYTHEMA,1 (0.2%),2
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,DEVICE OCCLUSION,1 (0.2%),1
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,GAIT DISTURBANCE,1 (0.2%),7
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,GRANULOMA,1 (0.2%),1
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,GRAVITATIONAL OEDEMA,1 (0.2%),1
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,INFUSION RELATED REACTION,1 (0.2%),1
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,INJECTION SITE EXTRAVASATION,1 (0.2%),2
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,INJECTION SITE PHLEBITIS,1 (0.2%),2
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,TENDERNESS,1 (0.2%),6
